year,population_by_age_group,number_of_population
2006,Below 21,562
2006,21-30,2929
2006,31-40,4003
2006,41-50,2752
2006,51-60,900
2006,60 Above,126
2007,Below 21,554
2007,21-30,2467
2007,31-40,3540
2007,41-50,2775
2007,51-60,984
2007,60 Above,126
2008,Below 21,553
2008,21-30,2367
2008,31-40,3465
2008,41-50,2922
2008,51-60,1186
2008,60 Above,135
2009,Below 21,570
2009,21-30,2390
2009,31-40,3483
2009,41-50,3203
2009,51-60,1463
2009,60 Above,179
2010,Below 21,546
2010,21-30,2206
2010,31-40,3248
2010,41-50,3279
2010,51-60,1658
2010,60 Above,217
2011,Below 21,413
2011,21-30,1825
2011,31-40,2714
2011,41-50,3071
2011,51-60,1744
2011,60 Above,261
2012,Below 21,344
2012,21-30,1673
2012,31-40,2515
2012,41-50,3101
2012,51-60,1956
2012,60 Above,312
2013,Below 21,309
2013,21-30,1590
2013,31-40,2367
2013,41-50,3247
2013,51-60,2170
2013,60 Above,359
2014,Below 21,261
2014,21-30,1511
2014,31-40,2156
2014,41-50,3121
2014,51-60,2287
2014,60 Above,418
2015,Below 21,247
2015,21-30,1459
2015,31-40,2071
2015,41-50,2995
2015,51-60,2320
2015,60 Above,510
2016,Below 21,278
2016,21-30,1532
2016,31-40,1971
2016,41-50,2875
2016,51-60,2265
2016,60 Above,581
